"id","title","series","issue","grade","condition","price","raw_title","sold_at","created_at","bids","viewers","slab_type","variant","grade_source","seller","platform","image_url","is_key"
b95af659-713a-4bfe-9ac6-e437aa087f06,Konga,,14,,Very Good,7.00,Konga #14,2026-01-23 18:51:58.925 -0800,2026-01-23 18:51:58.968 -0800,,,,,,,whatnot,,false
"26c32de2-f47c-435a-b11b-e14f043bfb1d",Captain America,Captain America,14,,Near Mint,3.00,Captin Savage #14,2026-01-23 19:34:10.926 -0800,2026-01-23 19:34:10.652 -0800,,,,,,,whatnot,,false
"273cda0b-77b5-4d87-891d-2481db99a88e",Comic,,6,,Very Fine,15.00,Comic #6,2026-01-24 10:22:25.925 -0800,2026-01-24 10:22:25.092 -0800,,,,,,,whatnot,,false
"1c530075-f72b-4773-8840-d7fade60cec7",MISTER MIRACLE,,1,,"🔑CONCLUSION OF THE BANE ARC
🔑INTRODUCTION OF HARLEY QUINN IN FULL
▪️DAVE JOHNSON VARIANT COVER
▪️NICK DRAGOTTA ART
▪️SCOTT SNYDER STORY 
(2025)",130.00,MISTER MIRACLE #1 🔑[1ST APP OF MISTER MIRACLE],2026-01-23 19:37:32.930 -0800,2026-01-23 19:37:32.544 -0800,,,,,,,whatnot,,false
c2e6d546-74af-42ea-8c20-991b54c1413f,Fantastic Four,Fantastic Four,65,,"🔑CONCLUSION OF THE BANE ARC
🔑INTRODUCTION OF HARLEY QUINN IN FULL
▪️DAVE JOHNSON VARIANT COVER
▪️NICK DRAGOTTA ART
▪️SCOTT SNYDER STORY 
(2025)",57.00,FANTASTIC FOUR #65🔑(1ST APP OF RONAN THE ACCUSER),2026-01-23 19:43:26.316 -0800,2026-01-23 19:43:26.055 -0800,,,,,,,whatnot,,false
"49b97406-9e46-44f2-b84d-049a0ae63ae0",Batman,Batman,1,,"🔑CONCLUSION OF THE BANE ARC
🔑INTRODUCTION OF HARLEY QUINN IN FULL
▪️DAVE JOHNSON VARIANT COVER
▪️NICK DRAGOTTA ART
▪️SCOTT SNYDER STORY 
(2025)",140.00,ABSOLUTE BATMAN #1🔑(PANINI BLIND BAG)💥GERMAN VARIANT-LTD 150,2026-01-23 19:49:59.823 -0800,2026-01-23 19:49:59.549 -0800,,,,,,,whatnot,,false
"259778b0-eaab-49ab-9d32-4ab410ee4d9a",Dark claw,,1,,Good,3.00,Dark claw #1 news stand,2026-01-23 19:50:06.933 -0800,2026-01-23 19:50:06.472 -0800,,,,,,,whatnot,,false
d82aaaca-fbcc-4eab-ad04-f8754edfc1a2,Dazzler,,15,,Fine,3.00,Dazzler #15 news stand,2026-01-23 19:50:07.928 -0800,2026-01-23 19:50:07.467 -0800,,,,,,,whatnot,,false
"7844bcf5-3b1b-4e9a-871c-bce50c95a5b1",Batman,Batman,1,,"🔑CONCLUSION OF THE BANE ARC
🔑INTRODUCTION OF HARLEY QUINN IN FULL
▪️DAVE JOHNSON VARIANT COVER
▪️NICK DRAGOTTA ART
▪️SCOTT SNYDER STORY 
(2025)",245.00,BATMAN BEYOND #1 🔑,2026-01-23 19:56:23.818 -0800,2026-01-23 19:56:23.519 -0800,,,,,,,whatnot,,false
e5692ce0-be3e-4633-9459-28c9fd6f1375,Action Comics,Action Comics,441,,Near Mint,3.00,Action comics #441,2026-01-23 19:56:40.927 -0800,2026-01-23 19:56:40.472 -0800,,,,,,,whatnot,,false
c8a43dec-ce8b-4b57-a0eb-ae7c6a27852b,Aquaman,Aquaman,57,,Very Good,3.00,Aquaman #57 news stand,2026-01-23 19:56:41.929 -0800,2026-01-23 19:56:41.471 -0800,,,,,,,whatnot,,false
"3b918682-3d27-4473-87bb-8c69ce8d9a44",Something Is KillIng The Children,Something Is KillIng The Children,28,,Near Mint ∙ Variant Cover,45.00,SOMETHING IS KILLING THE CHILDREN #28 (E.M. GIST),2026-01-23 20:03:18.819 -0800,2026-01-23 20:03:18.578 -0800,,,,,,,whatnot,,false
a0c50526-d2d5-4c3a-a7df-2a9fc0dc4fc0,Daredevil,Daredevil,11,,"🔑CONCLUSION OF THE BANE ARC
🔑INTRODUCTION OF HARLEY QUINN IN FULL
▪️DAVE JOHNSON VARIANT COVER
▪️NICK DRAGOTTA ART
▪️SCOTT SNYDER STORY 
(2025)",105.00,DAREDEVIL #11,2026-01-23 20:10:34.319 -0800,2026-01-23 20:10:34.016 -0800,,,,,,,whatnot,,false
fb1d5c68-e375-4b83-8488-0c5bf4cde082,Action Comics,Action Comics,441,,Fine,3.00,Action comics #441,2026-01-23 20:17:35.928 -0800,2026-01-23 20:17:35.736 -0800,,,,,,,whatnot,,false
eae72e35-e13f-4e93-9bb6-e6b59270c876,Wonder Woman,Wonder Woman,4,,Fine,4.00,Wonder woman #4,2026-01-23 20:17:36.928 -0800,2026-01-23 20:17:36.472 -0800,,,,,,,whatnot,,false
